rb    omega	Omega	   i	    e	      a
384     228.1     354.9      27.8     0.624     0.866
385     320.4     165.9      36.0     0.394     0.877
386      54.4     155.1      33.9     0.303     0.999
387     119.8     334.9       4.0     0.176     0.976
388     204.8     309.8      12.5     0.320     0.976
389       1.7     120.9      26.5     0.422     0.869
390       0.7     114.5       6.1     0.483     0.779
391     194.7     289.8      10.6     0.496     0.789
392     250.1     176.7       6.3     0.411     0.864
393     190.5     263.6      27.8     0.296     0.853
394     349.7      98.0      29.7     0.382     0.804
395      42.8      88.7      41.4     0.793     0.985
396     181.2     226.4       2.9     0.215     0.840
397       6.1      59.6       7.9     0.336     0.855
398     230.7     203.1      18.7     0.136     0.952
399     243.7     161.0       9.2     0.395     0.791
400     112.7     229.9       5.6     0.246     0.959
401     334.6      22.7      27.9     0.383     0.779
402     120.9     177.4       3.7     0.330     0.933
403     310.8       0.2      12.8     0.271     0.918
404     351.2     352.9      20.8     0.386     0.763
405     328.0     344.4      16.2     0.768     0.891
406     248.5     146.7       9.6     0.068     0.989
407     174.1     113.4      10.7     0.356     0.949
408      38.8     296.9      13.0     0.300     0.847
409     168.7     116.0      31.2     0.421     0.884
410     155.8     117.6       5.9     0.570     0.872
411      31.2     269.9      28.2     0.537     0.809
412       7.8     265.5      12.1     0.241     0.843
413      47.3     263.4       6.1     0.313     0.868
414     115.7     120.9      10.7     0.267     0.932
415     157.5      85.6      21.5     0.410     0.760
416     302.9     307.1       3.1     0.434     0.748
417      16.0     253.3      12.2     0.170     0.887
418       1.0     285.1       1.2     0.298     0.837
419     179.4      54.8      10.3     0.171     0.857
420     332.4     233.5       1.3     0.165     0.944
421     297.1     225.8      16.3     0.244     0.941
422     294.4     211.8       4.5     0.221     0.965
423     120.7      29.8       3.7     0.397     0.954
424      56.5     203.1      14.1     0.259     0.946
425     138.7      12.6      36.5     0.162     0.976
426     136.7      48.5       2.6     0.443     0.751
427     200.5      14.5      13.5     0.250     0.908
428     322.7     202.1       4.8     0.429     0.767
429     233.5     302.1      18.7     0.238     0.866
430     359.5     180.3      18.4     0.416     0.738
431      94.4      46.6      21.3     0.465     0.875
432     227.0     356.8      22.1     0.187     0.955
433     280.9     199.4       5.3     0.329     0.961
434     333.9     173.8       6.0     0.351     0.920
435      28.7     175.1       0.6     0.122     0.951
436     109.2      75.4       6.3     0.338     0.943
437       9.1     151.9      56.1     0.175     0.951
438     232.2     327.2      14.3     0.417     0.950
439     231.4     263.9      29.3     0.563     0.951
440     309.4      82.6      25.5     0.352     0.915
